2025-10-30 00:49:29,494 [INFO] extractor.entities: Found 28353 HTML files to process
2025-10-30 00:49:33,275 [INFO] extractor.entities: Progress: 100/28353 files processed, 22482 entities extracted
2025-10-30 00:49:37,514 [INFO] extractor.entities: Progress: 200/28353 files processed, 48949 entities extracted
2025-10-30 00:49:41,481 [INFO] extractor.entities: Progress: 300/28353 files processed, 73576 entities extracted
2025-10-30 00:49:45,493 [INFO] extractor.entities: Progress: 400/28353 files processed, 101606 entities extracted
2025-10-30 00:49:49,556 [INFO] extractor.entities: Progress: 500/28353 files processed, 125216 entities extracted
2025-10-30 00:49:53,248 [INFO] extractor.entities: Progress: 600/28353 files processed, 152099 entities extracted
2025-10-30 00:49:57,688 [INFO] extractor.entities: Progress: 700/28353 files processed, 189621 entities extracted
2025-10-30 00:50:01,354 [INFO] extractor.entities: Progress: 800/28353 files processed, 212164 entities extracted
2025-10-30 00:50:05,226 [INFO] extractor.entities: Progress: 900/28353 files processed, 236159 entities extracted
2025-10-30 00:50:08,862 [INFO] extractor.entities: Progress: 1000/28353 files processed, 257065 entities extracted
2025-10-30 00:50:12,709 [INFO] extractor.entities: Progress: 1100/28353 files processed, 279496 entities extracted
2025-10-30 00:50:16,637 [INFO] extractor.entities: Progress: 1200/28353 files processed, 309427 entities extracted
2025-10-30 00:50:20,873 [INFO] extractor.entities: Progress: 1300/28353 files processed, 333161 entities extracted
2025-10-30 00:50:25,255 [INFO] extractor.entities: Progress: 1400/28353 files processed, 360138 entities extracted
2025-10-30 00:50:29,855 [INFO] extractor.entities: Progress: 1500/28353 files processed, 385442 entities extracted
2025-10-30 00:50:33,925 [INFO] extractor.entities: Progress: 1600/28353 files processed, 409245 entities extracted
2025-10-30 00:50:38,070 [INFO] extractor.entities: Progress: 1700/28353 files processed, 432650 entities extracted
2025-10-30 00:50:42,124 [INFO] extractor.entities: Progress: 1800/28353 files processed, 455914 entities extracted
2025-10-30 00:50:46,079 [INFO] extractor.entities: Progress: 1900/28353 files processed, 478893 entities extracted
2025-10-30 00:50:50,027 [INFO] extractor.entities: Progress: 2000/28353 files processed, 503190 entities extracted
2025-10-30 00:50:54,476 [INFO] extractor.entities: Progress: 2100/28353 files processed, 533069 entities extracted
2025-10-30 00:50:58,420 [INFO] extractor.entities: Progress: 2200/28353 files processed, 555227 entities extracted
2025-10-30 00:51:02,669 [INFO] extractor.entities: Progress: 2300/28353 files processed, 579461 entities extracted
2025-10-30 00:51:06,572 [INFO] extractor.entities: Progress: 2400/28353 files processed, 602472 entities extracted
2025-10-30 00:51:10,193 [INFO] extractor.entities: Progress: 2500/28353 files processed, 625311 entities extracted
2025-10-30 00:51:13,950 [INFO] extractor.entities: Progress: 2600/28353 files processed, 648495 entities extracted
2025-10-30 00:51:18,150 [INFO] extractor.entities: Progress: 2700/28353 files processed, 674106 entities extracted
2025-10-30 00:51:22,302 [INFO] extractor.entities: Progress: 2800/28353 files processed, 697079 entities extracted
2025-10-30 00:51:26,282 [INFO] extractor.entities: Progress: 2900/28353 files processed, 721168 entities extracted
2025-10-30 00:51:30,346 [INFO] extractor.entities: Progress: 3000/28353 files processed, 744912 entities extracted
2025-10-30 00:51:34,402 [INFO] extractor.entities: Progress: 3100/28353 files processed, 771571 entities extracted
