query	method	rank	doc_id	score	title
github crawler	classic	1	650	18.453892	crawler · GitHub Topics · GitHub
github crawler	classic	2	2762	15.570110	web-scraping · GitHub Topics · GitHub
github crawler	classic	3	478	14.564295	scrapy · GitHub Topics · GitHub
github crawler	classic	4	2308	13.599112	apify · GitHub Topics · GitHub
github crawler	classic	5	140	12.324592	news-articles · GitHub Topics · GitHub
github crawler	smoothed	1	650	26.694146	crawler · GitHub Topics · GitHub
github crawler	smoothed	2	2762	23.033126	web-scraping · GitHub Topics · GitHub
github crawler	smoothed	3	478	21.780287	scrapy · GitHub Topics · GitHub
github crawler	smoothed	4	2308	20.578059	apify · GitHub Topics · GitHub
github crawler	smoothed	5	140	18.990521	news-articles · GitHub Topics · GitHub
github crawler	probabilistic	1	650	18.415694	crawler · GitHub Topics · GitHub
github crawler	probabilistic	2	2762	15.537963	web-scraping · GitHub Topics · GitHub
github crawler	probabilistic	3	478	14.534263	scrapy · GitHub Topics · GitHub
github crawler	probabilistic	4	2308	13.571109	apify · GitHub Topics · GitHub
github crawler	probabilistic	5	140	12.299267	news-articles · GitHub Topics · GitHub
github crawler	max	1	650	2.293757	crawler · GitHub Topics · GitHub
github crawler	max	2	2762	1.935313	web-scraping · GitHub Topics · GitHub
github crawler	max	3	478	1.810293	scrapy · GitHub Topics · GitHub
github crawler	max	4	2308	1.690324	apify · GitHub Topics · GitHub
github crawler	max	5	140	1.531906	news-articles · GitHub Topics · GitHub
async http client	classic	1	1146	31.313276	GitHub - avelino/awesome-go: A curated list of awesome Go frameworks, libraries and software
async http client	classic	2	605	23.180620	GitHub - dexteryy/spellbook-of-modern-webdev: A Big Picture, Thesaurus, and Taxonomy of Modern JavaScript Web Development
async http client	classic	3	2927	22.681115	GitHub - cheatsnake/backend-cheats: 📃 White paper for Backend developers
async http client	classic	4	1750	21.498256	GitHub - axios/axios: Promise based HTTP client for the browser and node.js
async http client	classic	5	1991	21.027885	GitHub - nodejs/undici: An HTTP/1.1 client, written from scratch for Node.js
async http client	smoothed	1	1146	46.605311	GitHub - avelino/awesome-go: A curated list of awesome Go frameworks, libraries and software
async http client	smoothed	2	605	34.201317	GitHub - dexteryy/spellbook-of-modern-webdev: A Big Picture, Thesaurus, and Taxonomy of Modern JavaScript Web Development
async http client	smoothed	3	2927	33.960674	GitHub - cheatsnake/backend-cheats: 📃 White paper for Backend developers
async http client	smoothed	4	1750	31.832888	GitHub - axios/axios: Promise based HTTP client for the browser and node.js
async http client	smoothed	5	339	31.350514	GitHub - Vedenin/useful-java-links: A list of useful Java frameworks, libraries, software and hello worlds examples
